Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries)
Pentax Optio S5i,2004,2560,2048,4,36,107,40,6,10,120
Pentax Optio S5n,2005,2560,2304,4,35,107,40,6,9,120
Pentax Optio S5z,2005,2560,2304,5,35,107,40,6,9,120
Pentax Optio S6,2005,2816,2560,6,37,112,40,15,23,120
Pentax Optio S60,2005,2816,2560,6,35,106,40,6,11,135
Pentax Optio S7,2006,3072,2592,7,37,112,40,15,23,120
Pentax Optio SV,2004,2560,2048,5,36,180,60,3,32,165
Pentax Optio SVi,2005,2560,2048,5,36,180,60,3,32,165
Pentax Optio T10,2006,2816,2592,6,37,112,40,15,12,155
Pentax Optio T20,2006,3072,2592,7,37,112,40,15,12,155
Pentax Optio T30,2007,3072,2592,7,38,112,40,15,20,155
Pentax Optio W10,2006,2816,2560,6,38,114,40,1,10,160
Pentax Optio W20,2006,3072,2560,7,38,114,40,1,21,150
Pentax Optio W30,2007,3072,2560,7,38,114,40,1,21,155
Pentax Optio WP,2005,2560,2304,4,38,114,40,1,10,135
Pentax Optio WPi,2005,2816,2560,6,38,114,40,1,10,135
Pentax Optio X,2004,2560,2048,5,36,107,40,6,14,145
Pentax Optio Z10,2007,3264,2592,8,38,266,40,8,0,0
Ricoh Caplio 500G,2006,3264,2592,8,28,85,30,1,26,450
Ricoh Caplio R1V,2005,2560,2048,4,28,135,30,1,12,195
Ricoh Caplio R2,2005,2560,2048,4,28,135,30,1,28,195
Ricoh Caplio R3,2005,2560,2048,4,28,200,30,1,26,165
Ricoh Caplio R30,2006,2560,2048,4,28,160,30,1,28,180
Ricoh Caplio R4,2006,2816,2048,6,28,200,30,1,26,165
Ricoh Caplio R40,2006,2816,2048,6,28,160,30,1,26,165
Ricoh Caplio R5,2006,3072,2592,7,28,200,30,1,26,165
Ricoh Caplio R6,2007,3072,2592,7,28,200,30,1,54,165
Ricoh Caplio R7,2007,3264,3264,8,28,200,30,1,24,135
Ricoh Caplio RR530,2005,2560,2048,4,32,96,30,1,12,190
Ricoh Caplio RR630,2006,2816,2048,6,36,108,50,6,12,200
Ricoh Caplio G3,2003,2048,1280,3,35,105,30,1,8,230
Ricoh GR Digital,2005,3264,2592,8,28,28,30,2,26,200
Ricoh Caplio GX100,2007,3648,3264,10,24,72,30,1,26,260
Ricoh Caplio GX8,2005,3264,2592,8,28,85,30,1,26,260
Ricoh RDC-200G,2000,1792,1280,2,38,114,4,4,8,500
Ricoh RDC-4300,1998,1280,640,1,35,105,40,8,4,320
Ricoh RDC-5000,1999,1792,896,2,38,86,40,4,8,340
Ricoh RDC-5300,1999,1792,896,2,38,114,40,4,8,380
Ricoh RDC-6000,2000,1600,800,1,40,40,30,13,8,300
Ricoh RDC-7,2000,2048,1024,3,35,105,24,1,8,320
Ricoh RDC-i500,2001,2048,1024,3,35,105,24,1,8,320
Ricoh RDC-i700,2000,2048,1024,3,35,105,24,1,8,450
Ricoh Caplio RR1,2001,2272,1120,3,35,105,24,1,8,340
Ricoh Caplio RX,2004,2048,1280,3,28,100,30,1,8,215
Samsung Digimax A50,2005,2592,2272,5,35,105,80,5,11,185
Samsung Digimax A502,2005,2592,2272,5,31,31,100,2,16,175
Samsung Digimax A55W,2005,2592,2272,5,28,135,60,1,32,185
Samsung Digimax 130,2002,1280,640,1,43,43,80,40,8,250
Samsung Digimax 202,2004,1600,1024,1,35,47,120,19,6,135
Samsung Digimax 230,2002,1600,1024,1,33,100,80,20,0,0
Samsung Digimax 250,2004,1600,1024,1,35,76,80,15,6,210
Samsung Digimax 301,2004,2048,1600,3,35,33,10,19,16,137
Samsung Digimax 350SE,2002,2048,1024,3,34,102,80,20,0,320
Samsung Digimax 370,2004,2048,1620,3,35,114,80,5,0,157
Samsung Digimax 401,2004,2048,1600,4,35,33,10,19,16,137
Samsung Digimax 410,2002,2272,1600,3,34,102,80,20,0,340
Samsung Digimax 430,2004,2272,2048,3,35,114,80,5,32,210
Samsung Digimax 530,2004,2592,2048,5,38,114,80,6,32,195
Samsung Digimax V4,2003,2272,1120,3,38,114,80,6,0,210
Samsung GX-10,2006,3872,3008,10,0,0,0,0,0,793
Samsung GX-1L,2006,3008,2400,6,0,0,0,0,0,570
Samsung GX-1S,2006,3008,2400,6,0,0,0,0,0,605
Samsung Digimax i5,2005,2595,2272,5,39,117,50,5,50,155
Samsung Digimax i6,2006,2816,2592,6,39,117,50,1,45,0
Samsung i7,2007,3072,2592,7,38,114,80,5,450,210
Samsung i70,2007,3072,2592,7,38,114,80,5,20,180
Samsung i85,2007,3264,2592,8,36,108,80,5,173,0
Samsung L83T,2007,3264,2592,8,38,114,80,5,19,160
Samsung L700,2007,3072,2592,7,35,105,80,5,20,170
Samsung L73,2007,3072,2592,7,35,105,80,5,19,180
Samsung L730,2007,3264,2592,7,38,114,80,10,16,183
Samsung L74 Wide,2007,3072,2592,7,28,101,80,5,450,210
Samsung L77,2007,3072,2592,7,38,266,80,10,0,0
Samsung L830,2007,3264,2592,8,38,114,80,5,10,183
Samsung NV10,2006,3648,3136,10,35,105,80,4,20,190
Samsung NV11,2007,3648,3136,10,35,190,80,1,0,240
Samsung NV15,2007,3648,2592,10,34,102,80,4,20,0
Samsung NV20,2007,4000,2592,12,34,102,80,4,20,0
Samsung NV3,2006,3072,2816,7,38,114,80,1,15,155
Samsung NV7 OPS,2006,3072,2688,7,38,270,80,1,19,290
Samsung NV8,2007,3264,2592,8,34,102,80,4,20,0
Samsung Pro815,2005,3264,2400,8,28,420,10,3,0,910
Samsung S1030,2007,3648,3476,10,35,105,80,4,45,220
Samsung S1050,2007,3648,3476,10,38,190,80,1,45,254
Samsung S630,2007,2816,2048,6,35,105,80,5,16,186
Samsung S730,2007,3072,2592,7,35,105,80,5,16,186
Samsung S830,2007,3264,3072,8,35,105,80,4,45,220
Samsung S85,2007,3264,2592,8,38,190,80,1,20,204
Samsung S850,2007,3264,2592,8,38,190,80,1,20,222
Samsung Digimax U-CA 3,2003,2048,2048,3,35,114,80,5,0,134
Samsung Digimax U-CA 4,2004,2272,2048,4,35,105,80,5,0,169
Samsung Digimax U-CA 401,2004,2272,1136,3,35,35,60,6,0,165
Samsung Digimax V40,2004,2272,2048,3,35,113,80,5,0,230
Samsung Digimax V5,2004,2592,2272,5,38,114,80,5,0,180
Samsung Digimax V50,2004,2592,2272,5,35,113,80,5,256,230
Samsung Digimax V6,2004,2816,2560,6,38,114,80,6,0,220
Samsung Digimax V700,2005,3072,2816,7,38,114,80,4,128,220
Samsung Digimax V800,2005,3264,2816,8,38,114,80,4,32,220
Sanyo DSC-AZ1,2001,2288,1600,3,35,98,50,10,16,340
Sanyo DSC-J1,2003,2048,1600,3,37,104,20,2,8,205
Sanyo DSC-S1,2003,2048,1600,3,36,108,50,16,8,190
Sanyo Xacti DSC-S3,2004,2048,1600,3,37,112,50,2,16,185
Sanyo Xacti DSC-S4,2004,2288,1600,3,37,105,50,2,16,185
Sanyo DSC-MZ1,2001,1600,640,1,35,98,50,10,8,340
Sanyo VPC-X350,1999,1024,640,0,38,38,60,10,4,260
Sanyo VPC-Z400,1999,1280,640,1,34,102,80,20,4,350
Sigma DP1,2006,2640,1776,4,28,28,0,0,0,270
Sigma SD10,2003,2268,1134,3,0,0,0,0,0,950
Sigma SD14,2006,2640,1776,4,0,0,0,0,0,750
Sigma SD9,2002,2268,1134,3,0,0,0,0,0,950
Sony Mavica FD-91,1998,1024,640,0,37,518,80,3,1,950
Sony Mavica CD1000,2000,1600,1600,1,37,370,80,3,8,980
Sony Mavica CD200,2001,1600,1024,1,39,117,50,3,8,620
Sony Mavica CD250,2002,1600,1280,1,41,123,50,3,6,610
Sony Mavica CD300,2001,2048,1600,3,34,102,50,4,8,620
Sony Mavica CD350,2003,2048,1632,3,41,123,50,10,1,522
Sony Mavica CD400,2002,2272,1600,3,34,102,50,4,6,640
Sony Mavica CD500,2003,2592,2048,5,34,102,50,4,1,606
Sony DSC-D700,1998,1344,640,1,28,140,20,0,8,900
Sony DSC-D770,1999,1344,640,1,28,140,20,0,8,900
Sony DSC-F505,1999,1600,1024,1,38,190,80,8,4,475
Sony DSC-F505V,2000,1856,1600,2,38,190,50,2,8,482
Sony DSC-F55,1999,1600,640,1,37,37,50,10,4,300
Sony DSC-F55V,2000,1856,1600,2,37,37,25,10,8,280
Sony DSC-F707,2001,2560,2048,4,38,190,50,2,16,667
Sony DSC-F717,2002,2560,2048,4,38,190,50,2,32,659
Sony DSC-F828,2003,3264,2592,8,28,200,50,2,0,906
Sony DSC-F88,2004,2592,2048,5,38,114,50,8,32,202
Sony DSC-G1,2007,2816,2048,6,38,114,50,8,2,238
Sony DSC-H1,2005,2592,2048,5,36,432,50,2,32,591
Sony DSC-H2,2006,2816,2048,6,36,432,50,2,32,490
Sony DSC-H3,2007,3264,3264,8,38,380,50,2,31,264
Sony DSC-H5,2006,3072,2592,7,36,432,50,2,32,490
Sony DSC-H7,2007,3264,2592,8,31,465,50,2,31,405
Sony DSC-H9,2007,3264,2592,8,31,465,50,2,31,440
Sony DSC-L1,2004,2304,1280,4,32,96,12,12,16,152
Sony DSC-M1,2004,2592,2048,5,38,114,50,8,32,215
Sony DSC-M2,2005,2592,2048,5,38,114,50,1,32,240
Sony DSC-N1,2005,3264,2592,8,38,114,50,6,32,139
Sony DSC-N2,2006,3264,2592,10,38,114,50,6,32,139
Sony DSC-P1,2000,2048,1600,3,39,117,50,10,8,250
Sony DSC-P10,2003,2592,2048,5,38,114,50,10,32,206
Sony DSC-P100,2004,2592,2048,5,38,114,50,10,32,180
Sony DSC-P150,2004,3072,2592,7,38,114,50,6,32,180
Sony DSC-P2,2002,1600,1280,1,39,117,50,10,16,214
Sony DSC-P20,2001,1216,1024,1,42,42,60,3,4,230
Sony DSC-P200,2005,3072,2592,7,38,114,50,6,32,180
Sony DSC-P3,2001,1920,1600,2,36,36,25,10,8,194
Sony DSC-P30,2001,1280,1024,1,41,123,50,3,4,250
Sony DSC-P31,2002,1600,1280,1,33,33,10,10,8,231
Sony DSC-P32,2003,2048,1632,3,33,33,10,10,16,217
Sony DSC-P41,2004,2272,1600,3,33,33,10,10,16,180
Sony DSC-P5,2001,2048,1600,3,39,117,50,10,8,214
Sony DSC-P50,2001,1600,1024,1,41,123,50,3,4,250
Sony DSC-P51,2002,1600,1280,1,41,82,8,8,16,275
Sony DSC-P52,2003,2048,1632,3,41,82,8,8,16,280
Sony DSC-P7,2002,2048,1600,3,39,117,50,10,16,214
Sony DSC-P71,2002,2048,1600,3,39,117,50,10,16,284
Sony DSC-P72,2003,2048,1632,3,39,117,50,10,16,259
Sony DSC-P73,2004,2272,1600,3,39,117,50,10,16,243
Sony DSC-P8,2003,2048,1632,3,39,117,50,10,16,206
Sony DSC-P9,2002,2272,1600,3,39,117,50,10,16,206
Sony DSC-P92,2003,2592,2048,5,38,114,50,10,16,259
Sony DSC-P93,2004,2592,2048,5,38,114,50,10,32,236
Sony DSC-R1,2005,3888,3264,10,24,120,0,0,0,995
Sony DSC-S30,2000,1280,640,1,39,117,25,3,4,370
Sony DSC-S40,2005,2304,2048,4,32,96,0,0,32,184
Sony DSC-S50,2000,1600,1280,1,39,117,25,3,4,370
Sony DSC-S60,2005,2304,2048,4,39,117,50,10,32,249
Sony DSC-S600,2006,2816,2048,6,31,93,12,0,32,180
Sony DSC-S650,2007,3072,2592,7,35,105,35,5,24,178
Sony DSC-S70,2000,2048,1600,3,34,102,25,4,8,420
Sony DSC-S700,2007,3072,2592,7,35,105,35,5,24,178
Sony DSC-S75,2001,2048,1600,3,34,102,50,4,8,444
Sony DSC-S800,2007,3264,2592,8,37,222,50,2,54,245
Sony DSC-S85,2001,2272,1600,3,34,102,50,4,16,444
Sony DSC-S90,2005,2304,2048,4,39,117,50,10,32,253
Sony DSC-T1,2003,2592,2048,5,38,114,25,1,32,180
Sony DSC-T10,2006,3072,2592,7,38,114,50,1,56,168
Sony DSC-T100,2007,3264,2592,8,35,175,50,1,31,197
Sony DSC-T11,2004,2592,2048,5,38,114,50,8,32,186
Sony DSC-T20,2007,3264,2592,8,38,114,50,1,31,197
Sony DSC-T200,2007,3264,3264,8,35,175,50,1,31,160
Sony DSC-T3,2004,2592,2048,5,38,114,50,8,32,186
Sony DSC-T30,2006,3072,2592,7,38,114,50,1,58,172
Sony DSC-T33,2005,2592,2048,5,38,114,50,8,32,150
Sony DSC-T5,2005,2592,2048,5,38,114,50,8,32,139
Sony DSC-T50,2006,3072,2592,7,38,114,50,1,58,170
Sony DSC-T7,2005,2592,2048,5,38,114,50,8,32,134
Sony DSC-T9,2005,2816,2048,6,38,114,50,1,32,185
Sony DSC-U10,2002,1280,640,1,33,33,10,10,8,118
Sony DSC-U20,2002,1632,640,2,33,33,10,10,8,118
Sony DSC-U30,2003,1632,640,2,33,33,10,10,8,130
Sony DSC-U40,2003,1632,640,2,33,33,10,10,8,130
Sony DSC-U50,2003,1632,640,2,33,33,10,10,8,132
Sony DSC-U60,2003,1632,640,2,33,33,10,10,8,200
Sony DSC-V1,2003,2592,2048,5,34,136,40,10,32,298
Sony DSC-V3,2004,3072,2592,7,34,136,40,10,0,390
Sony DSC-W1,2004,2592,2048,5,38,114,50,6,32,250
Sony DSC-W100,2006,3264,2592,8,38,114,50,6,64,192
Sony DSC-W200,2007,4000,3264,12,35,105,34,5,31,195
Sony DSC-W30,2006,2816,2048,6,38,114,50,2,32,153
Sony DSC-W35,2007,3072,2592,7,38,114,30,2,56,149
Sony DSC-W5,2005,2592,2048,5,38,114,50,6,32,250
Sony DSC-W50,2006,2816,2048,6,38,114,50,2,32,157
Sony DSC-W55,2007,3072,2592,7,38,114,30,2,56,147
Sony DSC-W7,2005,3072,2592,7,38,114,50,6,32,250
Sony DSC-W70,2006,3072,2592,7,38,114,50,2,58,157
Sony DSC-W80,2007,3072,2592,7,35,105,50,4,31,175
Sony DSC-W90,2007,3254,2592,8,35,105,50,4,31,175
Sony DSLR-A100,2006,3872,3896,10,0,0,0,0,0,638
Sony DSLR-A700,2007,4272,3104,12,0,0,0,0,0,768
Sony Mavica FD-100,2002,1280,1024,1,37,111,0,0,1,0
Sony Mavica FD-200,2002,1600,1024,1,37,111,19,3,1,520
Sony Mavica FD-71,1998,640,320,0,40,400,1,1,1,500
Sony Mavica FD-73,1999,640,320,0,40,400,1,1,1,500
Sony Mavica FD-75,2001,640,320,0,40,400,1,1,1,580
Sony Mavica FD-81,1998,1024,640,0,37,111,1,1,1,580
Sony Mavica FD-83,1999,1024,640,0,37,111,1,1,1,580
Sony Mavica FD-85,2000,1280,1280,1,37,111,1,1,1,0
Sony Mavica FD-87,2001,1280,1024,1,39,117,25,3,1,630
Sony Mavica FD-88,1999,1280,1024,1,34,270,4,4,1,600
Sony Mavica FD-90,2000,1280,1280,1,34,270,4,4,1,0
Sony Mavica FD-92,2001,1472,1280,1,41,328,25,3,1,660
Sony Mavica FD-95,2000,1600,1600,1,37,370,80,3,1,900
Sony Mavica FD-97,2001,1600,1024,1,39,390,25,2,1,990
Toshiba PDR-3310,2002,2048,1024,3,35,105,55,12,8,205
Toshiba PDR-3330,2002,2048,1024,3,35,100,80,10,8,320
Toshiba PDR-4300,2003,2400,1200,3,35,100,80,10,16,0
Toshiba PDR-5300,2003,2560,2048,4,35,105,80,10,16,230
Toshiba PDR-M1,1998,1280,640,1,35,35,50,9,4,290
Toshiba PDR-M11,2001,1280,640,1,52,52,90,0,8,240
Toshiba PDR-M21,2001,1600,800,1,39,39,50,0,8,240
Toshiba PDR-M25,2001,1729,896,2,38,114,40,8,8,320
Toshiba PDR-M3,1999,1280,640,1,38,115,90,25,4,380
Toshiba PDR-M4,1999,1600,800,1,40,40,50,10,8,290
Toshiba PDR-M5,1999,1600,800,1,40,120,90,25,8,350
Toshiba PDR-M60,2000,1792,896,2,38,86,50,5,4,320
Toshiba PDR-M61,2001,1792,896,2,38,114,50,5,8,310
Toshiba PDR-M65,2001,2048,1024,3,38,114,10,10,8,320
Toshiba PDR-M70,2000,2048,1024,3,35,105,80,9,16,390
Toshiba PDR-M71,2001,2048,1024,3,35,98,80,10,8,340
Toshiba PDR-M81,2001,2400,1200,3,35,98,80,10,16,340
Toshiba PDR-T10,2002,1600,800,1,38,38,40,20,8,180
